id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
17850246,一览众山小 * 森林四人观山房,122088598,大磊,房山区,39.78117,115.52364,Entire home/apt,3218,1,0,0.0,5,354,0
17869338,【繁星小院】温泉泳池美式五居别墅 依山傍水 可烧烤钓鱼,114242022,小小,怀柔区 / Huairou,40.73406,116.62844,Private room,6971,1,7,0.13,2,84,0
17983585,Beijing Iris House,13604427,Iris,丰台区 / Fengtai,39.867,116.41774,Entire home/apt,3829,1,25,0.55,9,167,20
18068689,北京密云捧河湾悠然山居精品民宿联排别墅【栖心栋】,124389976,浩洋,密云县 / Miyun,40.54106,116.81948,Entire home/apt,6409,1,14,0.29,3,359,6
18146173,山楂小筑350平独栋别墅、距环球影城驱车七分钟/临近地铁公交/可烧烤团建聚会、拍照/举办婚礼生日派对,125117738,菲,通州区 / Tongzhou,39.859241,116.706856,Entire home/apt,3922,1,1,1.0,2,360,1
18182586,候鸟营地一号院  北京上空800米的山居小院  （长峪城/明长城/可长租）,125459934,小姜,昌平区,40.17045,115.92255,Entire home/apt,2966,1,33,0.61,2,84,1
18212694,山涧后院，怀柔/红螺寺/灵慧山/雁栖湖慕田峪长城/整院/烧烤/聚会/团建,125739532,峪景小院,怀柔区 / Huairou,40.38446,116.58904,Entire home/apt,3617,1,21,0.4,1,353,2
18274883,十渡依家别墅可整租也可分租,126349894,丹,房山区,39.63873,115.58969,Entire home/apt,3700,1,6,0.12,1,176,2
18401803,北京云居小院4人私汤温泉,27593963,Beiling,房山区,39.59869,115.76947,Entire home/apt,2780,1,2,0.04,4,175,0
18467759,慕田峪长城 乡村朴舍农家院 长城小院,88919216,赫,怀柔区 / Huairou,40.43302,116.56336,Entire home/apt,2894,1,1,0.03,1,359,0
18534340,十渡云山小筑民宿农家院,128651522,赵佳丽,房山区,39.6429,115.58567,Private room,1719,1,3,0.06,1,207,0
18566145,十渡小猪窝民宿(山景房),39643798,燕军,房山区,39.63221,115.64675,Entire home/apt,3723,1,2,0.07,3,349,0
18585929,北京新市府旁 通州区潮白河畔 茹古涵今老北京仿古四合院,129051999,志禹,通州区 / Tongzhou,39.87052,116.81438,Entire home/apt,7000,1,1,0.02,1,338,0
18645679,北京密云捧河湾悠然山居精品民宿联排别墅【栖身栋】,124389976,浩洋,密云县 / Miyun,40.61626,116.80614,Entire home/apt,3694,1,5,0.12,3,174,1
